"","S110","S123","S68","S57","S22","S104","S98","S46","S140","S42","S107","S23","S144","S48","S55","S119","S89","S92","S40","S127","S11","S77","S135","S142","S25","S131","S15","S120","S109","S133","S122","S71","S94","S96","S95","S18","S76","S32","S70","S52","S62","S37","S130","S74","S59","S35","S38","S85","S114","S3","S73","S54","S61","S112","S129","S67","S111","S64","S56","S41","S19","S84","S9","S116","S43","S4","S126","S105","S20","S34","S141","S60"
"total_SBS2_40",0,0,0,43.4894446760052,37.9898831065854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3032252530526,0,0,0,26.6348514593577,150.851458010155,0,0,0,0,174.326403054032,62.7068562102798,0,43.4467325896725,0,48.4650491344136,15.9751949066539,69.1535502559545,0,40.5542232354616,0,77.9837874591964,80.0226855346803,0,22.2265537953366,0,217.6038723596,0,0,0,0,0,0,70.7390548847535,0,8.71529412633661
"total_SBS13_40",0,0,0,0,0,0,0,0,0,28.3056819998753,0,0,0,0,0,0,0,0,61.649490748596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.257509741226,0,55.9063327198641,0,254.233285679682,0,0,0,135.107329889785,91.1349863846979,0,0,0,0,0,0,0,0,0,0,0,139.344422076837,29.9031301906699,0,0,163.734569117057,0,34.1570363374014,0,0,0,0,0,0,0
"total_SBS2",0,0,0,45.7206259594521,37.9898831065854,0,0,0,0,0,0,0,0,13.7941444496733,0,0,0,18.4895770246732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4319680068369,46.4597195778063,0,0,32.9635091879656,214.091215120762,0,0,0,62.7638725959708,207.642521903548,107.992156845087,0,50.4276659057494,0,57.4990520040351,24.7536586351675,101.909210624234,13.8612424481617,43.4940939813664,27.736240973236,80.8760161013967,142.938425550257,0,24.684563494533,0,276.61544134029,0,23.1963427065796,0,0,0,0,76.4448082338655,0,14.4813960137239
"total_SBS13",0,0,0,0,0,0,0,0,0,56.7543102506311,0,0,0,16.6841410929102,0,0,0,0,68.5868133491813,0,0,8.00852581781742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.645375890927,0,109.400382317324,0,343.196787193153,0,0,0,197.21821810724,140.783802099903,44.4746058033112,0,0,0,0,0,0,0,0,0,0,232.060575043695,40.0030223277994,0,0,238.367805741021,0,70.3159073608989,0,0,0,0,0,0,0
