"","S110","S123","S68","S57","S22","S104","S40","S127","S11","S77","S135","S142","S76","S32","S70","S52","S62","S37","S129","S67","S111","S64","S56","S41"
"total_SBS2",0,0,0,45.7206259594521,37.9898831065854,0,0,0,0,0,0,0,64.4319680068369,46.4597195778063,0,0,32.9635091879656,214.091215120762,13.8612424481617,43.4940939813664,27.736240973236,80.8760161013967,142.938425550257,0
"total_SBS13",0,0,0,0,0,0,68.5868133491813,0,0,8.00852581781742,0,0,0,165.645375890927,0,109.400382317324,0,343.196787193153,0,0,0,0,232.060575043695,40.0030223277994
