"","S110","S123","S68","S57","S22","S104","S98","S46","S140","S42","S107","S23","S144","S48","S55","S119","S89","S92","S40","S127","S11","S77","S135","S142","S25","S131","S15","S120","S109","S133","S122","S71","S94","S96","S95","S18","S76","S32","S70","S52","S62","S37","S130","S74","S59","S35","S38","S85","S114","S3","S73","S54","S61","S112","S129","S67","S111","S64","S56","S41","S19","S84","S9","S116","S43","S4","S126","S105","S20","S34","S141","S60"
"SBS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS2",0,0,0,45.7206259594521,37.9898831065854,0,0,0,0,0,0,0,0,13.7941444496733,0,0,0,18.4895770246732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4319680068369,46.4597195778063,0,0,32.9635091879656,214.091215120762,0,0,0,62.7638725959708,207.642521903548,107.992156845087,0,50.4276659057494,0,57.4990520040351,24.7536586351675,101.909210624234,13.8612424481617,43.4940939813664,27.736240973236,80.8760161013967,142.938425550257,0,24.684563494533,0,276.61544134029,0,23.1963427065796,0,0,0,0,76.4448082338655,0,14.4813960137239
"SBS5",319.596433263227,292.908025464028,416.305568127909,175.341234534526,0,409.833097857548,310.620557432461,220.836530065319,373.273386800826,533.968585162375,281.699836195581,254.478151318443,346.09025638124,298.835688300398,0,331.249186590795,339.78400955289,366.584153749261,132.965959614244,67.3740577654418,0,170.354124469156,113.051765637382,82.4650406010178,0,88.672226295471,40.9840436547912,134.240981649301,45.6775424404834,0,184.13278402288,82.473804364662,76.6271282250594,142.556134370695,0,0,679.037571002788,940.623771668514,0,928.462560989962,406.894162158173,976.919818258819,0,846.000214124583,528.249824734962,792.401296303503,665.606602320352,396.353334969367,524.730230792038,536.300734963638,0,599.123917334049,519.645749481575,620.632429629374,329.785503299969,406.083157518824,462.466512922762,242.422484279893,1200.34808354716,536.790295348574,329.442619976379,331.111289292033,775.882193530363,349.970427797268,613.487763123062,436.980438799855,466.807521267779,490.181472354767,619.836258889653,168.741822333346,478.177595092056,215.789920551896
"SBS6",125.20789397507,80.3767437349489,0,0,0,149.029568674535,333.776265954901,89.3909729839423,59.8345358641089,0,0,0,59.5925521069569,0,0,153.685418073919,0,209.580817974396,0,34.2545558900258,0,0,30.8580900267239,45.3000313711931,0,104.410104401431,0,0,0,0,112.479069807387,48.1606746845394,78.0629162293727,64.3860016027034,0,0,128.601666332709,0,0,0,192.544967270988,0,0,207.929334071637,136.027587091904,0,0,0,56.9809216223437,67.8226392975685,0,0,320.628433087273,0,0,169.913643708191,0,0,0,0,0,99.2506662396895,0,0,0,105.84979603213,172.220484784683,96.0616174108248,85.6233618002427,0,145.506266204354,0
"SBS13",0,0,0,0,0,0,0,0,0,56.7543102506311,0,0,0,16.6841410929102,0,0,0,0,68.5868133491813,0,0,8.00852581781742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.645375890927,0,109.400382317324,0,343.196787193153,0,0,0,197.21821810724,140.783802099903,44.4746058033112,0,0,0,0,0,0,0,0,0,0,232.060575043695,40.0030223277994,0,0,238.367805741021,0,70.3159073608989,0,0,0,0,0,0,0
"SBS15",257.734280396206,204.126219513016,143.313842053378,134.347554419375,90.2808367053084,189.328583297381,0,140.300028996631,210.259429115413,0,176.524476223217,26.1266316944645,162.668479334154,17.3596784822892,0,123.049289101226,154.749927592707,67.5529927330611,0,68.3379930611477,57.4215769345816,0,84.1766857893955,85.4402687236612,0,144.597682633018,0,0,0,0,104.812317412095,103.304139186665,0,100.292740933537,0,0,65.1164297477631,0,62.2538720404704,0,171.787983165565,0,0,161.319891762214,229.091255613134,0,0,0,201.747030396161,174.303886257729,0,92.7666413597805,0,0,0,76.5995622653503,0,118.922731472962,0,107.140454326252,51.4806079777138,138.422801423227,0,0,75.8722167708924,126.603135242338,83.9005815427937,240.835522107887,148.558529795952,0,256.123180753402,0
"SBS18",0,0,0,0,995.216768986455,0,0,0,0,0,0,12.6066812901185,0,0,739.821002063468,0,0,0,0,0,1004.05211779031,47.8661230124341,0,0,1115.83810489894,0,39.3564260458055,0,0,770.586739224914,0,0,0,0,1544.36870899167,428.59445982251,0,0,1288.87404179211,0,0,0,1353.17928099322,0,0,0,0,287.405608594009,0,0,9661.98060127173,0,0,122.758782299561,159.327310906801,0,67.2890458395999,65.2617660853017,0,0,0,0,182.368506861835,0,0,46.4237636641799,0,0,0,134.769407986349,0,29.0943964594221
